vector_size=64, window=9, alpha=0.07181567765350799, min_alpha=0.0008085019514629863, negative=7, sg=1, score=25.015713025377256
vector_size=64, window=9, alpha=0.00010393591534785157, min_alpha=0.0007920700242972871, negative=7, sg=1, score=18.091025988479036
vector_size=64, window=7, alpha=0.05274786853499342, min_alpha=0.0007519507889211682, negative=7, sg=1, score=24.730283757056444
vector_size=64, window=8, alpha=0.02869482588279215, min_alpha=0.0010237811309408316, negative=6, sg=1, score=24.408527127312986
vector_size=64, window=4, alpha=0.07726486693817755, min_alpha=0.00026320171930753537, negative=5, sg=1, score=24.10291599153515
vector_size=64, window=8, alpha=0.0365915062152018, min_alpha=0.0006365253436327282, negative=19, sg=1, score=24.61322892580569
vector_size=64, window=9, alpha=0.05166884264207093, min_alpha=0.0004962028462263288, negative=6, sg=1, score=24.86752045576423
vector_size=64, window=9, alpha=0.07490444518982889, min_alpha=0.0009210308716782915, negative=6, sg=1, score=24.95632067257515
vector_size=64, window=9, alpha=0.05885528547248428, min_alpha=0.0003978787006267995, negative=7, sg=1, score=24.99899090662715
vector_size=64, window=9, alpha=0.05417312352019327, min_alpha=0.00040802778363204135, negative=8, sg=1, score=24.971889541756283
vector_size=64, window=9, alpha=0.03956126817184439, min_alpha=0.0007498122434362296, negative=7, sg=1, score=24.812741101238014
vector_size=64, window=8, alpha=0.018763933844142197, min_alpha=0.0003334122528939422, negative=8, sg=1, score=23.841128339378283
vector_size=64, window=5, alpha=0.025573552067848608, min_alpha=0.0011961327106251932, negative=17, sg=1, score=22.99637303010558
vector_size=64, window=9, alpha=0.00016653036740266555, min_alpha=0.0005864270851647919, negative=15, sg=1, score=16.96257128523898
vector_size=64, window=7, alpha=0.005418287155526109, min_alpha=0.00017592119195831374, negative=7, sg=1, score=22.126246230315473
vector_size=256, window=8, alpha=0.07862440112461273, min_alpha=0.0002573956442911239, negative=8, sg=1, score=24.01584564907769
vector_size=64, window=9, alpha=0.06387477396230841, min_alpha=0.0004912236137350124, negative=6, sg=1, score=24.95978042128207
vector_size=64, window=9, alpha=0.0788345372138473, min_alpha=0.0008678488324331399, negative=5, sg=1, score=24.93498555554915
vector_size=64, window=9, alpha=0.05787895700857511, min_alpha=0.0005602628366750658, negative=7, sg=1, score=24.968429793049367
vector_size=512, window=10, alpha=0.0006032038415351138, min_alpha=0.0003263101557609658, negative=19, sg=1, score=16.9573816621786
vector_size=32, window=3, alpha=0.002827625462122983, min_alpha=0.0003309313161786783, negative=5, sg=1, score=17.113070353989958
vector_size=64, window=3, alpha=0.013195882486017923, min_alpha=0.0001644084581075755, negative=18, sg=1, score=21.256119430525363
vector_size=128, window=15, alpha=0.003955229468771419, min_alpha=0.0005671101582125896, negative=6, sg=1, score=23.814026974507417
vector_size=128, window=15, alpha=0.0004266136638334906, min_alpha=0.005727311959298703, negative=6, sg=1, score=24.269560554251743
vector_size=512, window=10, alpha=0.060000869155384856, min_alpha=0.0009505494878517754, negative=8, sg=1, score=23.965679292827364
vector_size=32, window=14, alpha=0.0025550142062913924, min_alpha=0.003259280910708807, negative=7, sg=1, score=23.16705396631358
vector_size=128, window=13, alpha=0.0030379438380266927, min_alpha=0.004128122307846879, negative=14, sg=1, score=23.65141878528223
vector_size=64, window=4, alpha=0.002768428019004135, min_alpha=0.007861059598672575, negative=13, sg=1, score=22.32345190660985
vector_size=256, window=4, alpha=0.003053922482267151, min_alpha=0.004387277123770067, negative=10, sg=1, score=22.341903899713415
vector_size=128, window=7, alpha=0.00011032917068885177, min_alpha=0.001649653006090548, negative=10, sg=1, score=21.837933838072228
vector_size=512, window=11, alpha=0.08522435765508277, min_alpha=0.001354989133274126, negative=8, sg=1, score=20.54571769603801
vector_size=512, window=7, alpha=0.09517257428741545, min_alpha=0.0008681764040055904, negative=10, sg=1, score=20.242413059398118
vector_size=256, window=12, alpha=0.00025562649709055997, min_alpha=0.0021713667117902783, negative=8, sg=1, score=23.928198681835745
vector_size=512, window=8, alpha=0.02065212515803453, min_alpha=0.0007940118574907443, negative=16, sg=1, score=23.199344954244825
vector_size=128, window=9, alpha=0.0009412638287212599, min_alpha=0.007615452778257331, negative=5, sg=1, score=24.236692941536013
vector_size=128, window=6, alpha=0.00075490864270075, min_alpha=0.009157621234555505, negative=5, sg=1, score=23.781159361791687
vector_size=128, window=9, alpha=0.0008411575837763439, min_alpha=0.006010090808862822, negative=11, sg=1, score=23.600675804247416
vector_size=128, window=12, alpha=0.0003829597988539719, min_alpha=0.0026496330639176184, negative=5, sg=1, score=24.014115774724228
